,P1,P10,P11,P12,P13,P14,P20,P25,P19,P24,P28,P33,P38,P39,P37,P32,P34,P35,P36,P26,P15,P21,P22,P23,P27,P17,P16,P6,P7,P8,P18,P9,P5,P4,P3,P2,P29,P30,P31,P40,PUMP_1,PUMP_2,V2,V1,sum,percent,category
Flow (P11),1.9115603938698769,0.8838964970782399,0.0,0.268503884319216,0.05235918128164485,0.038614302800851874,0.013122000062139705,0.043308320571668446,0.014735298427694943,0.08672196508268826,0.1949201957322657,0.04345917694445234,0.05941585369873792,0.05010873370338231,0.09974642284214497,0.055781068294891156,0.03250585132627748,0.03250575035053771,1.0411479478555918e-07,0.12870404808094596,0.6391057725995779,0.3789722300134599,0.6647875215858221,0.18187721126014367,0.18412093195365742,0.17009799275547266,0.4227210311219096,0.3105791565030813,0.24900219892151654,0.10650314553640783,0.21312326018232852,0.0889872809057124,0.0889872809057124,0.28584820742253214,0.6169938470702618,0.38855812523979694,0.035235209715665405,0.021404320506007934,0.04324542735504178,35.97728729248047,9.981996774673462,27.906850934028625,0.0,0.0432454185502138,83.00949961986933,100.9,CAT-1
Flow (P12),1.9548058360815048,1.2289883228950202,0.7435585812199861,0.0,0.0317466797932866,0.04027392035641242,0.012262054908205755,0.04164870329259429,0.00729196988959302,0.09041518589947373,0.10958114595268853,0.06526431601014338,0.05659046096843667,0.05293412500759587,0.08589363528881222,0.15110139042371884,0.0491840362228686,0.04918393038678914,1.0737079958467177e-07,0.1287040582190275,0.5022065676748753,0.24207302251306828,0.33383297349791974,0.30159940070006996,0.29611944360658526,0.3925772536313161,0.22866568563040346,0.10616775424568914,0.2003850206383504,0.1546690165414475,0.013397749673458748,0.12085002718959004,0.12085002718959004,0.3658768249442801,0.24763524730224162,0.22361093619838357,0.010940390381620091,0.010940395242414525,0.0,35.941792607307434,9.98324829339981,27.913349866867065,0.0,0.0,82.61021696456257,100.42,CAT-1
Flow (P13),1.9548058342188597,1.3144179084338248,1.0025322865694761,0.6904929522424936,0.0,0.020176858559352695,0.02288550461980776,0.063957223581383,0.06476663808280136,0.172535163059365,0.31855136482045054,0.06942046553012915,0.05846945050871,0.051055135976639576,0.10591822926653549,0.033688085386529565,0.027280454407446086,0.02728034518804634,1.1316655790238883e-07,0.12870405156054518,0.44003190705552697,0.18286881453241222,0.1625742749041592,0.068755049606807,0.08942638292501215,0.123920310405083,0.11957821797113866,0.041711085199494846,0.03752270792028867,0.043254386459011585,0.5377139821648598,0.06819957686820999,0.06819957686820999,0.11530297441640869,0.1599237050395459,0.20035606378223747,0.013774643168289913,0.013774649210972711,0.0,35.941792607307434,9.98324829339981,27.913349866867065,0.0,0.0,82.45221714125094,100.22,CAT-1
Flow (P14),1.9548058547079563,1.3151836055330932,1.0053765531629324,0.7016290589235723,0.08856713041313924,0.0,0.0408509370610801,0.08192264912941027,0.021154954854864627,0.13488037756178528,0.2922625185456127,0.04097588658623863,0.06032625716761686,0.04919833052554168,0.10478267120197415,0.036979374242946506,0.02655920832330594,0.026559098951111082,1.1229916085930824e-07,0.12870404594444143,0.4394257767125964,0.18232054135296494,0.16074608481721953,0.06673018337369285,0.08541384691488929,0.11969728639815003,0.11827455961611122,0.04093615064630285,0.033453914416895714,0.027646734401059803,0.4758906078059226,0.04758864075120073,0.04758864075120073,0.11029968992806971,0.15898921363987029,0.2001965023810044,0.019644941319711506,0.019644921900180634,0.0,35.941792607307434,9.98324829339981,27.913349866867065,0.0,0.0,82.30359762983713,100.04,CAT-1
Flow (P20),1.9548058463260531,1.315213616937399,1.0054528140462935,0.7017317342106253,0.093201218143804,0.04085093097526207,0.0,0.04107172001386061,0.020395132072735578,0.13093971170019358,0.28965808043722063,0.038072695897426456,0.06049228270421736,0.0490323042467935,0.10468667920213193,0.03737411351175979,0.026489175266760867,0.026489065487112384,1.1045977243995253e-07,0.12870405500745155,0.439353053458035,0.18225915980292484,0.16051617878656543,0.0665144508893718,0.08494907310523558,0.11920346814440563,0.1181173991644755,0.04104711560648866,0.033921300229849294,0.02940147175831953,0.4696044491138309,0.04996441025286913,0.04996441025286913,0.11092072486644611,0.15914286248153076,0.20023918757215142,0.02241960862011183,0.022419587039621547,0.0,35.941792607307434,9.98324829339981,27.913349866867065,0.0,0.0,82.26300996536628,99.99,CAT-1
Flow (P25),1.9548058547079563,1.3152634999714792,1.0055726333521307,0.7018557514529675,0.1003983520786278,0.08192262513330206,0.04107172001386061,0.0,0.04286296142890933,0.12420824149739929,0.2861672906437889,0.03410380062268814,0.060686764772981405,0.04883782166871242,0.10458904085680842,0.0379498609690927,0.026392331274109893,0.026392221021524165,1.0894674584704944e-07,0.12870406464350975,0.43923262576572597,0.1821417381579522,0.1601514058347675,0.06605677381230635,0.08427648432552814,0.11844048707280308,0.11786426324397326,0.04123030390474014,0.03468009701464325,0.032086664337839466,0.459846158279106,0.05366212740773335,0.05366212740773335,0.11193324805935845,0.15939658868592232,0.2003097281558439,0.026582984923152253,0.0265829640411539,0.0,35.941792607307434,9.98324829339981,27.913349866867065,0.0,0.0,82.32831248306118,100.07,CAT-1
Flow (P19),1.9548058565706015,1.31523912306875,1.0055172913707793,0.7018029091414064,0.09717336879111826,0.034176290238974616,0.016661565059621353,0.047746334654220846,0.0,0.1272992916055955,0.28766390308737755,0.03581429162295535,0.06060493437689729,0.048919651642790996,0.1046284610638395,0.03769655883661471,0.026434740888362285,0.026434631487063598,1.150562185525672e-07,0.12870405944231256,0.4392890599556267,0.18219170437077992,0.16030966657672252,0.06625378683565941,0.08457219599222299,0.11878092988627031,0.11797821777872741,0.04114730084256735,0.03433714370476082,0.030886274471413344,0.4642186963465065,0.052003736011101864,0.052003736011101864,0.11147524550324306,0.15928154397988692,0.20027767959982157,0.024790663126623258,0.024790641487925313,0.0,35.941792368888855,9.98324829339981,27.913349866867065,0.0,0.0,82.26030212964218,99.99,CAT-1
Flow (P24),1.9548058025538921,1.315169872250408,1.00509696546942,0.6994963821489364,0.11829056945862249,0.04372082337067695,0.012213048583362252,0.038201799645321444,0.022396426793420687,0.0,0.37789798656012863,0.1234912957297638,0.05292360903695226,0.056600978612550534,0.11028043559053913,0.03460167534649372,0.02846409272751771,0.028463982736866456,1.1064508997904454e-07,0.12870405206441285,0.4391955400351435,0.1821078785287682,0.1600815570254781,0.060775230173021555,0.08969643252203241,0.11842765239998698,0.11782865971326828,0.041647952908533625,0.036576628423063084,0.03880719038716052,0.43287403997965157,0.06282749629463069,0.06282749629463069,0.11437808960909024,0.15994490153389052,0.20044038398191333,0.07056766866298858,0.0705676876968937,0.0,35.941792488098145,9.98324829339981,27.913349866867065,0.0,0.0,82.44878304385955,100.22,CAT-1
Flow (P28),1.9548058416694403,1.3132259626872838,0.9987641205079854,0.6787751913070679,0.1175037045031786,0.043569834600930335,0.012887540275187348,0.03835278906626627,0.02078007811360294,0.2798810590757057,0.0,0.1365068632294424,0.07103917002677917,0.038485415614559315,0.08960931669571437,0.0626270408538403,0.031019646994536743,0.03101953788427636,1.1439601932394794e-07,0.1287040671417271,0.44163425266742706,0.1843211482919287,0.16745089688993176,0.017019945582433138,0.18948070314945653,0.13374578894581646,0.12285593070555478,0.04100962824304588,0.03564683150034398,0.039889607767690904,0.4118572836741805,0.061847022821893916,0.061847022821893916,0.1123152005020529,0.15881180949509144,0.199945620726794,0.20754605496767908,0.2075460337800905,1.5010424014860746e-09,35.941792488098145,9.98324829339981,27.913349866867065,0.0,0.0,82.68071872704292,100.5,CAT-1
Flow (P33),1.954805824905634,1.3153036977164447,1.005695370491594,0.7023575282655656,0.09571536327712238,0.03978113317134557,0.012420744740666123,0.042141491459915414,0.009253020558162461,0.15506736922543496,0.263289479422383,0.0,0.05036889624898322,0.05915568888303824,0.1128227956360206,0.040942099411040545,0.028476444735133555,0.02847633441706421,1.0653450188691238e-07,0.12870404659454265,0.43922310159541667,0.18218801252078265,0.16023866671457654,0.06728753683637478,0.08336835850786883,0.11853722430532798,0.11788455012720078,0.041127482560114004,0.034204302821308374,0.030305769534606952,0.4668118192348629,0.05127191552310251,0.05127191552310251,0.11132392956642434,0.1592630642117001,0.20027902512811124,0.050368918193271384,0.05036889624898322,0.0,35.941792607307434,9.98324829339981,27.913349866867065,0.0,0.0,82.29849269242203,100.04,CAT-1
