,J6,J7,J8,J9,J10,J1,J2,J3,J4,J13,J14,J15,J21,J22,J23,J16,J12,J24,J25,J5,J11,J17,J26,J27,J20,J18,J19,R1,T1,T2,sum,percent,category
Pressure (Tan_T1),1038.2966957092285,1052.6079025268555,1052.0425071716309,1017.4621391296387,990.5938034057617,1075.397315979004,1059.6131782531738,1044.094898223877,998.3124732971191,1014.194953918457,998.3846282958984,998.2736587524414,960.1117553710938,944.876953125,1226.8112678527832,975.3600997924805,1060.6375122070312,944.8618469238281,944.8618469238281,950.5685539245605,960.0694847106934,960.0698165893555,960.0820388793945,948.5901756286621,885.2647972106934,922.0190315246582,899.1599082946777,0.0,944.8618469238281,220.97997665405273,28048.461067199707,103.54,CAT-1
Pressure (Tan_T2),1038.2966957092285,1052.60791015625,1052.0425262451172,1017.462158203125,990.5938377380371,1075.3973236083984,1059.613193511963,1044.094928741455,998.3124961853027,1014.194938659668,998.3846168518066,998.2736892700195,960.1117744445801,944.8769836425781,1226.811294555664,975.3601303100586,1060.637508392334,944.8618698120117,826.7699241638184,950.5685539245605,960.0695304870605,960.0698547363281,960.0820541381836,948.5902061462402,885.2647972106934,922.0190658569336,922.0190658569336,0.0,102.86998748779297,922.0190658569336,27812.275981903076,102.67,CAT-1
Head (Pum_PUMP_1),1190.1152992248535,1189.4968795776367,1189.166358947754,1189.0307540893555,1188.9604835510254,1189.429286956787,1189.104793548584,1188.9710121154785,1188.9669456481934,1189.236515045166,1188.98051071167,1188.98828125,1188.9322624206543,1188.9509239196777,1188.9933242797852,1189.1131057739258,1189.66801071167,1188.9267921447754,1108.71000289917,1141.614974975586,1188.957721710205,1188.9968872070312,1188.9158668518066,1188.8723793029785,1189.5552711486816,1189.3122596740723,1187.9434814453125,1143.0000305175781,1108.71000289917,1188.4140014648438,35418.03442001343,97.4,CAT-1
Head (Pum_PUMP_2),1150.0674858093262,1150.0575981140137,1150.2972450256348,1150.647346496582,1151.2742080688477,1149.9938011169434,1150.2088623046875,1150.5183448791504,1150.8113250732422,1149.837802886963,1150.3957214355469,1150.9701461791992,1150.903034210205,1150.9812660217285,1151.417308807373,1152.3815727233887,1149.6933860778809,1150.91947555542,1108.71000289917,1142.595417022705,1151.5252418518066,1151.8917427062988,1150.9523086547852,1151.063877105713,1149.580654144287,1153.9207725524902,1152.9374237060547,1143.0000305175781,1108.71000289917,1156.600715637207,34432.8641204834,94.69,CAT-1
Demand (Pum_PUMP_1),0.0,0.1505963082308881,0.1505963082308881,0.10952458769315854,0.1150008158874698,0.08214344002772123,0.08214344002772123,0.09035778424004093,0.0,0.13690573745407164,0.12869139364920557,0.1150008158874698,0.09583401345298626,0.10952458769315854,0.0,0.05476229384657927,0.13142950413748622,0.0,0.0,0.0,0.0408509045955725,0.04107172001386061,0.08214344002772123,0.10952458769315854,0.12870400864630938,0.0,0.0,-1.455282172653824,7.175713701013109e-08,-0.4995236256392159,-3.510043550258857e-08,99.76,CAT-1
Demand (Pum_PUMP_2),0.0,0.1505963082308881,0.1505963082308881,0.10952458769315854,0.1150008158874698,0.08214344002772123,0.08214344002772123,0.09035778424004093,0.0,0.13690573745407164,0.12869139364920557,0.1150008158874698,0.09583401345298626,0.10952458769315854,0.0,0.05476229384657927,0.13142950413748622,0.0,0.0,0.0,0.0408509045955725,0.04107172001386061,0.08214344002772123,0.10952458769315854,0.12870400864630938,0.0,0.0,-0.5698271496221423,6.634609861499996e-09,-1.384978630851455,-8.24035200075457e-08,234.2,CAT-1
Pressure (Pum_PUMP_1),999.6152534484863,1014.2368278503418,1013.9062995910645,979.4806861877441,952.7404251098633,1037.0292167663574,1021.4647369384766,1006.0909576416016,960.3669090270996,975.8764572143555,960.3804664611816,960.3882141113281,922.2322196960449,907.0108680725098,1188.9932861328125,937.6530570983887,1022.0279426574707,906.986743927002,826.7699241638184,951.114933013916,922.2576599121094,922.2968521118164,922.2158164978027,910.7423324584961,846.6552276611328,884.5122184753418,883.1434440612793,0.0,102.86998748779297,205.43398094177246,26144.492944717407,96.52,CAT-1
Pressure (Pum_PUMP_2),959.5674362182617,974.7975578308105,975.0371894836426,941.0973091125488,915.0541572570801,997.5937614440918,982.5687980651855,967.6382904052734,922.2112693786621,936.4777450561523,921.7956695556641,922.3701019287109,884.202995300293,869.0412216186523,1151.4172592163086,900.9215278625488,982.0533485412598,868.979434967041,826.7699241638184,952.0953788757324,884.8252067565918,885.1916961669922,884.2522468566895,872.9338226318359,806.6806182861328,849.1207313537598,848.137378692627,0.0,102.86998748779297,173.62068462371826,25159.32274913788,92.88,CAT-1
Head (Val_V2),1225.1348991394043,1223.6291732788086,1222.5883293151855,1221.9594459533691,1221.5833778381348,1223.554946899414,1222.5565719604492,1221.9784774780273,1221.8253288269043,1223.2272911071777,1221.8703308105469,1221.5422058105469,1220.8431510925293,1221.2043762207031,1221.208827972412,1221.476001739502,1224.5010261535645,1218.1897430419922,1204.180606842041,1140.068832397461,1221.4873390197754,1221.4571151733398,1220.852855682373,1220.914321899414,1224.3883018493652,1221.443447113037,1203.9600372314453,1143.0000305175781,1199.277416229248,1203.9600372314453,36423.863845825195,100.17,CAT-1
Head (Val_V1),1226.5938415527344,1225.3698196411133,1224.5628547668457,1224.0962257385254,1223.6786727905273,1225.2958145141602,1224.518138885498,1224.068099975586,1223.9171447753906,1225.023048400879,1224.1164588928223,1223.8429985046387,1223.762451171875,1223.7599601745605,1223.6719131469727,1223.5538330078125,1226.011043548584,1223.748161315918,1108.71000289917,1140.5490798950195,1223.575065612793,1223.5377349853516,1223.7196044921875,1223.610034942627,1225.8983001708984,1223.3636741638184,1217.929428100586,1143.0000305175781,1108.71000289917,1217.4769897460938,36319.670429229736,99.88,CAT-1
